1718187342584707584.000000000,-0.220971561,0.103676678,0.115647815,0.687306000,-0.726246000,0.010631000,0.008002000
1718187342651390208.000000000,-0.219789904,0.103852345,0.116116384,0.687190000,-0.726372000,0.009575000,0.007887000
1718187342718073088.000000000,-0.219963031,0.103851277,0.116116608,0.687060000,-0.726502000,0.008933000,0.007925000
1718187342784756224.000000000,-0.220600242,0.103833572,0.115879537,0.686728000,-0.726818000,0.007782000,0.008944000
1718187342884780288.000000000,-0.220610953,0.104499104,0.116289613,0.686195000,-0.727331000,0.005452000,0.009802000
1718187342951462400.000000000,-0.220984704,0.104568445,0.116324568,0.685121000,-0.728349000,0.004473000,0.009883000
1718187343018145280.000000000,-0.221148601,0.104487729,0.116328120,0.684884000,-0.728569000,0.004161000,0.010132000
1718187343084827904.000000000,-0.221611673,0.104403824,0.116074833,0.684923000,-0.728537000,0.003597000,0.010041000
1718187343184852480.000000000,-0.222934330,0.104336900,0.115567372,0.683221000,-0.730139000,0.003266000,0.009729000
1718187343251535104.000000000,-0.222803002,0.104045732,0.115809857,0.682289000,-0.731006000,0.003403000,0.009971000
1718187343318217216.000000000,-0.222441729,0.103943658,0.115827198,0.682222000,-0.731063000,0.002724000,0.010649000
1718187343384899584.000000000,-0.223923084,0.103589336,0.115213405,0.682239000,-0.731056000,0.002152000,0.010146000
1718187343451580672.000000000,-0.223487237,0.103558910,0.115588974,0.681752000,-0.731511000,0.001619000,0.010205000
1718187343518263040.000000000,-0.223712699,0.103482033,0.115550467,0.681050000,-0.732168000,0.001828000,0.009902000
1718187343584945152.000000000,-0.224304732,0.103357335,0.115265696,0.680601000,-0.732585000,0.001511000,0.009951000
1718187343684968704.000000000,-0.227147077,0.103205975,0.114415895,0.674570000,-0.738095000,-0.001680000,0.012975000
1718187343751650816.000000000,-0.225797327,0.103026772,0.115635606,0.669846000,-0.742268000,-0.006128000,0.017516000
1718187343818333184.000000000,-0.226340970,0.102330164,0.123615060,0.665915000,-0.745773000,-0.010965000,0.016123000
1718187343951696640.000000000,-0.235202329,0.107546631,0.175431371,0.671002000,-0.740735000,0.009125000,0.031373000
1718187344018379008.000000000,-0.237256610,0.110872325,0.213071043,0.675004000,-0.736780000,0.018964000,0.034148000
1718187344085061120.000000000,-0.239128524,0.109125729,0.252206078,0.681000000,-0.731392000,0.013516000,0.033481000
1718187344151743232.000000000,-0.235180864,0.107536459,0.292796985,0.685093000,-0.728007000,0.004658000,0.025134000
1718187344218425600.000000000,-0.233980102,0.106994359,0.331145558,0.686115000,-0.727142000,0.004150000,0.022203000
1718187344285104640.000000000,-0.233872232,0.107466743,0.369633528,0.683830000,-0.728951000,0.013516000,0.028721000
1718187344351783936.000000000,-0.233375549,0.105767687,0.408428976,0.683765000,-0.728932000,0.013498000,0.030665000
1718187344418463488.000000000,-0.232325443,0.103245169,0.450896415,0.683561000,-0.729478000,0.005906000,0.023925000
1718187344485142784.000000000,-0.232624304,0.099746172,0.497283489,0.680820000,-0.732066000,0.000848000,0.023716000
1718187344551822080.000000000,-0.229948162,0.098290222,0.549405680,0.679570000,-0.733232000,0.001860000,0.023495000
1718187344618501120.000000000,-0.229600597,0.095641117,0.605871016,0.679371000,-0.733373000,0.006675000,0.023971000
1718187344685180672.000000000,-0.231184891,0.092250676,0.665331886,0.680166000,-0.732541000,0.013867000,0.023776000
1718187344785198336.000000000,-0.236487986,0.080784544,0.759614638,0.681429000,-0.731551000,0.010013000,0.019682000
1718187344885217536.000000000,-0.238626631,0.074051209,0.856100909,0.682773000,-0.730243000,0.014673000,0.018705000
1718187344951896320.000000000,-0.242469657,0.066497004,0.918051569,0.683262000,-0.729447000,0.024006000,0.021998000
1718187345018575616.000000000,-0.242517123,0.063325360,0.974911362,0.686084000,-0.726958000,0.024242000,0.015282000
1718187345085254656.000000000,-0.244914902,0.056457341,1.027701980,0.691748000,-0.721430000,0.029505000,0.012365000
1718187345185272320.000000000,-0.250639671,0.048773970,1.096696892,0.694684000,-0.718719000,0.029025000,0.003973000
