1718187510991883776.000000000,0.000732,-0.007158,0.009914,0.733415,-0.679779,0.001063,0.001658,-0.008316,0.009412,-0.098838
1718187511058566144.000000000,0.002287,-0.006320,0.006129,0.733647,-0.679528,0.000693,0.001583,-0.008432,0.014090,-0.125213
1718187511125248256.000000000,0.001548,-0.006937,0.010125,0.734024,-0.679120,0.001086,0.001702,-0.004414,0.009664,-0.071852
1718187511225273600.000000000,0.010727,-0.013567,0.005238,0.735531,-0.677480,0.001438,0.003686,0.014175,-0.005893,-0.079390
1718187511291956224.000000000,0.002036,-0.006450,0.018265,0.734218,-0.678909,0.001575,0.002033,-0.008230,0.013698,-0.008845
1718187511391981824.000000000,0.002075,-0.006421,0.015968,0.734550,-0.678548,0.001069,0.002828,-0.002701,0.009056,-0.022435
1718187511458665728.000000000,0.002197,-0.007079,0.015405,0.734784,-0.678295,0.000914,0.002705,-0.001959,0.004740,-0.024882
1718187511525349120.000000000,0.002769,-0.008627,0.015799,0.734837,-0.678240,0.000728,0.002190,-0.002965,0.000285,-0.024989
1718187511625374720.000000000,0.004149,-0.010600,0.019335,0.734531,-0.678570,-0.000014,0.002667,0.007181,-0.005160,-0.004030
1718187511692058368.000000000,0.002895,-0.009530,0.017548,0.734400,-0.678711,0.000227,0.002878,0.007200,-0.003064,-0.013557
1718187511758740992.000000000,0.004225,-0.011204,0.020725,0.734153,-0.678976,0.000183,0.003401,0.001535,-0.005713,-0.000063
1718187511858766592.000000000,0.005895,-0.011481,0.019142,0.734263,-0.678860,-0.000408,0.002644,0.004164,-0.005627,-0.013014
1718187511925449984.000000000,0.003991,-0.008871,0.019864,0.733857,-0.679300,-0.000416,0.002275,0.003604,0.008544,-0.003722
1718187511992134144.000000000,0.004751,-0.008946,0.020351,0.733791,-0.679370,-0.000180,0.002660,0.007119,0.005548,-0.003710
1718187512092159744.000000000,0.003770,-0.009742,0.020687,0.734188,-0.678942,-0.000384,0.002373,-0.000854,0.003731,-0.003403
1718187512158841856.000000000,-0.018615,0.026839,0.009659,0.732345,-0.680932,-0.000337,-0.001378,-0.077954,0.159971,-0.043384
